Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Exception Type,Error Messages
https://github.com/spring-projects/spring-data-envers,5637994be37747e82b2d6d5b34555e2bee791fe6,.,org.springframework.data.envers.repository.support.QueryDslRepositoryIntegrationTests.testWithRevisions,OD-Vic,org.hibernate.exception.ConstraintViolationException," could not execute statement]\\norg.springframework.dao.DataIntegrityViolationException: could not execute statement; SQL [n/a]; constraint [""FKMPDN78BJWY8S6BJ94CYYNTJ9N: PUBLIC.LICENSE_COUNTRY FOREIGN KEY(LAENDER_ID) REFERENCES PUBLIC.COUNTRY(ID) (6)""; SQL statement:\\ndelete from Country where id=? [23503-166]]; nested exception is org.hibernate.exception.ConstraintViolationException: could not execute statement\\n"
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.attachment,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.fault,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.faultNonCompliant,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.marshalSendAndReceiveNoResponse,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.marshalSendAndReceiveResponse,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.notFound,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap11WebServiceTemplateIntegrationTest.sendSourceAndReceiveToResultNoResponse,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.attachment,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.marshalSendAndReceiveNoResponse,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.marshalSendAndReceiveResponse,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.notFound,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.receiverFault,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
https://github.com/spring-projects/spring-ws,e8d89c9eb0929dda304174729c9c69fb29f448eb,spring-ws-core,org.springframework.ws.client.core.AxiomNonStreamingSoap12WebServiceTemplateIntegrationTest.senderFault,OD-Vic,org.springframework.ws.client.WebServiceIOException, I/O error: Connection refused (Connection refused); nested exception is java.net.ConnectException: Connection refused (Connection refused)\\n
